,SHOPKEEPER_SPEECH,SHOPKEEPER,SPATIAL_STATE,CLUSTER_ID,TYPICAL_VECTOR,INTRACLUSTER_DISTANCE,TSS,IS_BAD_CLUSTER
3780,thank you for coming,PASSIVE,WAITING;NONE,696;WAITING;NONE,*,0.901742215,,-
4957,thank you for coming,PASSIVE,WAITING;NONE,696;WAITING;NONE,-,0.901742215,,-
4253,thank you for coming,PASSIVE,WAITING;NONE,696;WAITING;NONE,-,0.901742215,,-
2621,that one cost 550 I'm sorry that one for $68,PASSIVE,PRESENT_X;NIKON,697;PRESENT_X;NIKON,*,,,-
2757,The sensor size for this is aps-c sensor which is not full frame but it's enough to shoot outdoor shooting,PASSIVE,PRESENT_X;SONY,698;PRESENT_X;SONY,-,0.4011217976,,-
4602,I'm not sure what's the sensor size on a point and shoot but I think it's a bit bigger,PASSIVE,PRESENT_X;SONY,698;PRESENT_X;SONY,-,0.4011217976,,-
2766,the sensor size for this one is that a has an aps-c sensor,PASSIVE,PRESENT_X;SONY,698;PRESENT_X;SONY,*,0.4011217976,,-
4642,"we don't have the exact sensor size information but this one has a cop sensor so but aside from, that we have another camera with a full frame sensor",PASSIVE,PRESENT_X;SONY,698;PRESENT_X;SONY,-,0.4011217976,,-
4746,the sensor size is how big the frame of you take each picture,PASSIVE,PRESENT_X;SONY,698;PRESENT_X;SONY,-,0.4011217976,,-
93,this is one of the best cameras in this range at this price point perhaps you would like to see the other cameras,PROACTIVE,PRESENT_X;NIKON,699;PRESENT_X;NIKON,-,0.4515131116,,-
170,one of the best cameras at the price it's only $68,PROACTIVE,PRESENT_X;NIKON,699;PRESENT_X;NIKON,-,0.4515131116,,-
222,this is only $68 it's the best camera in its price range,PROACTIVE,PRESENT_X;NIKON,699;PRESENT_X;NIKON,*,0.4515131116,,-
312,well it's very cheap it's the best value we have in this price range of $68,PROACTIVE,PRESENT_X;NIKON,699;PRESENT_X;NIKON,-,0.4515131116,,-
2482,"you can feel the ergonomics the way it feels in your hands ,this latest model like three has a lot of attention being given to the white sculpted to actually work with it in a handheld way, so mostly yes if you can you should use a tripod but the ergonomics is set up so that when is probably balance with well chosen lens it will still feel really good and will have a strong firm positive feel",PROACTIVE,PRESENT_X;CANON,69;PRESENT_X;CANON,-,0.3851124024,,-
1806,"please feel it in your hands and see how the ergonomic works, you can see how that's one of the advances of the 5d mark 2 is the sculptic of the body",PROACTIVE,PRESENT_X;CANON,69;PRESENT_X;CANON,-,0.3851124024,,-
2172,canon's big development over the years it's been the sculpting of the body so that it ergonomically sits in your hand it's very comfortable to use,PROACTIVE,PRESENT_X;CANON,69;PRESENT_X;CANON,-,0.3851124024,,-
2366,"this is the latest version of the Canon 5d mark 3, there are two big changes over the mark 2, pick it up and feel the camera body in your hand, they put a lot of work into sculpting it so it sits natural in your hand, Certainly for longer weddings the ergonomics becomes very important thing",PROACTIVE,PRESENT_X;CANON,69;PRESENT_X;CANON,-,0.3851124024,,-
1271,"it's similar to the old model of the same camera, this is the 5d mark 3, the big improvement over the 5d mark 2 is the way it fits in your hand, the ergonomics",PROACTIVE,PRESENT_X;CANON,69;PRESENT_X;CANON,*,0.3851124024,,-
1877,"This is a very big investment it's $2000 for the camera body, but please hold it in your hands, you'll see ways a full kilogram, so it's quite heavy but it's ergonomic shaped for your hand, it's designed to work well on the range of tripods as well",PROACTIVE,PRESENT_X;CANON,69;PRESENT_X;CANON,-,0.3851124024,,-
1651,"the big change since the 5d mark 2 is the ergonomics for how it fits in your hand, so it's really been designed from that point of view now, they had it pretty right for this time around",PROACTIVE,PRESENT_X;CANON,69;PRESENT_X;CANON,-,0.3851124024,,-
3520,yes it had  preset modes but it has limited manual settings,PASSIVE,PRESENT_X;NIKON,6;PRESENT_X;NIKON,-,0.3040656646,,-
4055,yes it comes with preset mode so it would adjust the settings for you,PASSIVE,PRESENT_X;NIKON,6;PRESENT_X;NIKON,-,0.3040656646,,-
4619,no you can't set the exposure manually but it comes with preset mode for that,PASSIVE,PRESENT_X;NIKON,6;PRESENT_X;NIKON,-,0.3040656646,,-
3217,this camera is very light and it also have preset mode so you don't need to adjust the settings,PASSIVE,PRESENT_X;NIKON,6;PRESENT_X;NIKON,-,0.3040656646,,-
4938,it does have preset mode for many kinds of setting,PASSIVE,PRESENT_X;NIKON,6;PRESENT_X;NIKON,*,0.3040656646,,-
3032,"this one has limited manual settings, manual settings to set the aperture and focus but it has 18 preset modes",PASSIVE,PRESENT_X;NIKON,6;PRESENT_X;NIKON,-,0.3040656646,,-
3123,this one comes in 3 colors which is silver white and black ,PASSIVE,PRESENT_X;SONY,700;PRESENT_X;SONY,-,0.6788180542,,-
3641,It comes in 3 colors on Silver white and black,PASSIVE,PRESENT_X;SONY,700;PRESENT_X;SONY,-,0.6788180542,,-
